Date,SMB,HML,WML,MF,RF
01/10/93,1.472626577,1.259329566,-0.421256951,NA,NA
04/10/93,0.466722166,0.433937332,-0.695420896,-0.930542877,0.022013614
05/10/93,0.060699894,0.785147673,-0.823548987,-0.296247725,0.022013614
06/10/93,-0.067927936,-1.540675356,0.177848957,-0.326857219,0.022013614
07/10/93,-0.291445653,0.138116508,-0.03275532,0.38003892,0.022013614
08/10/93,1.173106583,1.953627209,0.444535629,0.850143467,0.022013614
11/10/93,2.150039266,-0.384485256,-1.12270364,1.108532527,0.064474111
12/10/93,0.122387454,0.095082012,1.876638317,0.47861152,0.021486753
19/10/93,-0.475118457,-0.513838595,0.39652768,1.150292047,0.149659267
20/10/93,1.332008054,0.105281548,-0.570809577,-0.235197943,0.021275776
21/10/93,-0.278309606,0.230796568,0.700434998,-2.0054521,0.021275776
22/10/93,-0.443299763,-0.899879748,0.10737961,0.974454355,0.021275776
25/10/93,-0.794642606,0.519144143,0.149244961,0.493275573,0.065106829
26/10/93,0.510518623,-0.217922407,-0.315723739,-1.31968622,0.021697568
27/10/93,-1.472324987,0.760315999,0.787896448,-0.377593625,0.021697568
28/10/93,-0.074492427,-0.05930669,2.351314399,-0.41507992,0.021697568
29/10/93,-0.198022645,0.420075008,0.151678524,-0.835325893,0.021697568
01/11/93,0.406574146,0.133498627,-0.530515278,-2.179726368,0.064474111
02/11/93,-0.000224113,-0.096028143,0.574022811,-0.451088629,0.021486753
03/11/93,-0.070597906,-0.483057505,0.396307623,0.672115131,0.021486753
04/11/93,0.610395286,0.008827527,0.530758466,0.303231884,0.021486753
05/11/93,-0.343329445,-0.538930455,0.561186238,1.074129588,0.021486753
08/11/93,-0.674907035,-0.139410872,0.927007484,1.740750331,0.065106829
09/11/93,-1.200846432,0.2444344,-1.344454446,0.993527653,0.021697568
10/11/93,-1.222813212,0.482301867,0.950379592,0.863292876,0.021697568
16/11/93,-0.767654077,-0.690608109,1.9335751,2.640283094,0.130045004
17/11/93,-0.899589252,1.70689672,1.755897414,1.620695285,0.021486753
18/11/93,-2.183576282,2.297308159,1.091506018,1.692874789,0.021486753
19/11/93,-0.256622901,-0.235771486,0.190970938,1.530063932,0.021486753
22/11/93,-0.72666275,-0.642001565,0.689283958,1.935053906,0.067003605
23/11/93,0.454382658,-1.057819209,0.73652917,0.669057658,0.022329549
24/11/93,-0.359962602,-1.452312509,0.949632797,-0.336122467,0.022329549
25/11/93,-0.794023595,-0.861944277,1.871324445,-0.004583167,0.022329549
26/11/93,-2.043780049,1.193379938,0.830050215,3.692746516,0.022329549
01/12/93,-4.17341968,4.63575331,0.433437125,2.026335749,0.113278155
02/12/93,-1.11714883,3.253202776,4.578123724,1.022854838,0.022645372
03/12/93,1.713294088,-0.465777675,-3.139679461,-0.852580347,0.022645372
06/12/93,0.538694543,0.467175283,-4.794849573,-1.316800718,0.06763591
07/12/93,-2.025493997,1.053541911,2.408070398,1.343886002,0.022540222
08/12/93,-0.467557875,-0.520507398,0.482554115,1.58960637,0.022540222
09/12/93,0.062585313,1.381391625,-2.127974499,0.716115757,0.022540222
10/12/93,-0.999176867,0.118741901,-1.225868395,2.149699645,0.022540222
13/12/93,0.389600933,-1.034642985,1.908491655,2.490603715,0.063524508
24/12/93,2.184150973,-1.161094863,-1.480571251,-1.002293828,0.231638884
03/01/94,-0.305265003,2.266593449,-0.519208547,4.820205966,0.21945969
04/01/94,2.658616237,0.9424126,-9.147937992,0.938368736,0.026735504
05/01/94,0.927605147,-0.990122181,-1.443677721,-0.933408888,0.026735504
06/01/94,2.159453407,-0.813521957,-1.398777663,0.998721591,0.026735504
07/01/94,-0.756786324,-0.505297537,0.361260923,4.791101343,0.026735504
10/01/94,-0.639847722,-0.431477801,-0.5652271,4.066183707,0.06384091
11/01/94,-0.52360193,-2.291752712,-3.165876894,-1.22259408,0.021275776
12/01/94,-3.318749469,0.212567044,1.725681201,1.162126149,0.021275776
13/01/94,0.502725052,-0.829649466,-1.86902635,0.748774133,0.021275776
14/01/94,0.447468112,-0.308319478,-0.267112985,0.220498736,0.021275776
17/01/94,-0.49936519,0.240686304,-2.093318416,1.696003481,0.065739065
18/01/94,-0.04256086,-1.127447268,-0.948748552,-0.854339884,0.021908222
19/01/94,-0.390968056,-0.318219278,1.699779323,-3.623176416,0.021908222
20/01/94,0.956806806,0.235164607,1.981552062,-0.679726963,0.021908222
